target,r2_mean,r2_std,rmse_mean,rmse_std,n_oob_mean
Hidrocarburos líquidos (produccion),0.925967676592674,0.026737451707224493,0.26088008778639804,0.03050640371879383,90.0
Petróleo crudo (produccion),0.8988046803980756,0.027260703055748455,0.3112391421469297,0.030408453875485863,90.0
Condensados y líquidos del gas (produccion),0.9421623178332078,0.017990566955123643,0.23242933009531838,0.028226429332327257,90.0
Gas natural  (MMpcd) (produccion),0.8682678616969854,0.04160247346298955,0.35261921515354405,0.05767370649902937,90.0
Petrolíferos y gas licuado (1) (produccion),0.8917130189264735,0.021971769967053214,0.3226906255043838,0.026037469676107792,90.0
Petroquímicos (Mt) (2) (produccion),0.8578350299223172,0.027945631062034324,0.3637480282083887,0.031685283879247725,90.0
Naftas (Mt) (produccion),0.9012071420848972,0.024395360739618885,0.30061904644599036,0.03110215377003814,90.0
Proceso de crudo (produccion),0.9121878982285926,0.022218469451449476,0.2846691890123815,0.025390647747047242,90.0
Petrolíferos y gas licuado (volumen-ventas int),0.9744540094112555,0.008201512843379825,0.15565288390136034,0.017302083450185496,90.0
Gas licuado (3) (volumen-ventas int),0.7606247289761922,0.04501088757485235,0.48074695523176597,0.03416633155968537,90.0
Gasolinas automotrices (volumen-ventas int),0.9558157225657599,0.018200071301502273,0.20157789569164455,0.026925359457781406,90.0
Pemex Magna (volumen-ventas int),0.9753161285592625,0.00677548395831381,0.15068007257913132,0.014770070544037976,90.0
Pemex Premium (volumen-ventas int),0.7841352347239322,0.07570492675201837,0.4451639707329101,0.06126982720120253,90.0
Turbosina (volumen-ventas int),0.9569072280468933,0.015479154182311428,0.2025522414904434,0.021567612858823405,90.0
Diesel (volumen-ventas int),0.954664211148279,0.008614327473970519,0.20733464875836735,0.019758035829608604,90.0
Combustóleo (volumen-ventas int),0.812320413336814,0.052850184903676815,0.430727724065172,0.039350808573441025,90.0
Otros (4) (volumen-ventas int),0.7442129941875835,0.09162264099531227,0.48532207124610277,0.05767962612388997,90.0
Gas natural (Mmpcd) (volumen-ventas int),0.9416926989633018,0.020271650300509512,0.23253179716888456,0.026702099651216483,90.0
Petroquímicos (Mt) (volumen-ventas int),0.9472218110519599,0.016704733165332133,0.21873992744632922,0.018610433278520792,90.0
Complejos Petroquímicos (5) (volumen-ventas int),0.9116272167098366,0.02146928051929224,0.28573646385991336,0.025352982184578255,90.0
Sistema Nacional de Refinación (volumen-ventas int),0.7819520479593394,0.05937568600049724,0.4532888329095235,0.05598099242665902,90.0
Complejos Procesadores de Gas (6) (volumen-ventas int),0.9096640914433176,0.01762037101390744,0.3003245690743438,0.02342821635831271,90.0
Petrolíferos y gas licuado (MM$),0.9800711745757112,0.008374905294950257,0.13442818545649463,0.020298579350482286,90.0
Gas licuado (3) (MM$),0.9197688436440308,0.0250029222210198,0.27668599241829417,0.031756666320083886,90.0
Gasolinas automotrices (MM$),0.9694910191907871,0.012919358297875575,0.17150194489818277,0.020567416961347867,90.0
Pemex Magna (MM$),0.9719746297594913,0.008476004391331156,0.1592760744233432,0.017894372757469412,90.0
Pemex Premium (MM$),0.9025305683778614,0.03947954064584531,0.2988655893007936,0.051109262804464435,90.0
Turbosina (MM$),0.9573481518499247,0.014508201590370157,0.20060453795103037,0.024488156279990073,90.0
Diesel (MM$),0.9696984371350585,0.011903921442334403,0.16454045191499417,0.02075430816691528,90.0
Combustóleo  (MM$),0.8801286077700979,0.03788388978536205,0.332234008641352,0.04705860218313133,90.0
Otros (4)  (MM$),0.8607097943756596,0.030377644323485192,0.36612077956858424,0.036545651997483594,90.0
Gas natural  (MM$),0.7730463937338617,0.2210042174572223,0.4086305176274474,0.23980358438883803,90.0
Petroquímicos  (MM$),0.9512850918625133,0.015549760460511616,0.21447423191477882,0.024869395007077962,90.0
Complejos Petroquímicos (5)  (MM$),0.9466519992928553,0.014725964877468982,0.2233772103385051,0.027581345555575607,90.0
Sistema Nacional de Refinación  (MM$),0.8705932521305119,0.0281271822592945,0.3515570400989114,0.03463766293346267,90.0
Complejos Procesadores de Gas (6)  (MM$),0.8798723094606548,0.04502128125375569,0.3212162032089345,0.03801419955235759,90.0
Exportación neta de hidrocarburos líquidos (volumen),0.7938233424946496,0.04684846149975033,0.43664013490390113,0.0349692347026664,90.0
Exportación de petróleo crudo (volumen),0.46182702060531483,0.46879445266582664,0.5315007942566061,0.47646118098719153,90.0
Exportaciones Petrolíferos y gas licuado (volumen),0.8621437906161203,0.03311152773798695,0.35601394515211393,0.03562293274686101,90.0
Importaciones Petrolíferos y gas licuado (volumen),0.9168478607511705,0.022791493476149685,0.28318545481045454,0.02907867205826312,90.0
Exportación neta de gas natural (MMpcd) (volumen),0.9195120044355941,0.032792414164529306,0.2654484764266645,0.03835376790220019,90.0
Importaciones Petroquímicos (Mt) (volumen),0.8671695119177975,0.04051481377327864,0.35236168595955275,0.053978875889840364,90.0
Exportación de petróleo crudo (MMUS$),0.8996435228147567,0.026313273886156858,0.313085461840136,0.029886420438885425,90.0
Exportaciones Petrolíferos y gas licuado (MMUS$),0.9251715910029005,0.021284229961571772,0.26439745719451285,0.031828996799828285,90.0
Importaciones Petrolíferos y gas licuado (MMUS$),0.9485927725129772,0.02126238093818743,0.22214049416255843,0.025239440367588597,90.0
Exportación neta de gas natural (Mmpcd) (MMUS$),0.6203651105008003,0.3579759596178287,0.5094930546517983,0.34273742749061403,90.0
Importaciones Petroquímicos (Mt) (MMUS$),0.8467273954848069,0.04744709364240033,0.37903480789106964,0.05226872074046381,90.0
Petróleo crudo (8) (US$/b),0.9608638159267856,0.018151506412753458,0.1879851762218644,0.033595169662111325,90.0
Maya US$/b,0.9540597917680534,0.018670220908689385,0.20170871555953324,0.030037528850364002,90.0
Combustóleo (alto azufre) (US$/b),0.9248278994898044,0.02385622510486661,0.2633462046452995,0.031889511940615,90.0
Gas Licuado (US$/b),0.9266693566073588,0.01983764004201978,0.2666920856118071,0.02945148035642043,90.0
Gasolinas (US$/b),0.9573369667409423,0.014621555107108627,0.1996628401643173,0.025918658433772668,90.0
Gas natural (US$/MMBtu),0.5924870100579873,0.3939519081959152,0.494100854163325,0.37333638474100495,90.0
